[INFO] 2020-08-26 11:02:05,725  192.168.0.181 登录成功
[INFO] 2020-08-26 11:02:07,746  配置mapping_mode为vlan
[INFO] 2020-08-26 11:02:09,860  线路模板:mapping_mode设置成vlan正常
[INFO] 2020-08-26 11:02:11,879  线路模板:配置gem mapping 为2000成功
[INFO] 2020-08-26 11:02:11,894  线路模板:配置gem mapping 为3000成功
[INFO] 2020-08-26 11:02:11,894  线路模板:配置gem mapping 为[2000, 3000]成功
[INFO] 2020-08-26 11:02:11,898  配置mapping_mode为vlan+pri
[INFO] 2020-08-26 11:02:14,000  线路模板:mapping_mode设置成vlan+pri正常
[INFO] 2020-08-26 11:02:14,025  线路模板:配置gem mapping 为vlan 2000+pri 2成功
[INFO] 2020-08-26 11:02:14,047  线路模板:配置gem mapping 为vlan 2000+pri 4成功
[INFO] 2020-08-26 11:02:14,048  线路模板:配置gem mapping 为vlan +pri [(2000, 2), (2000, 4)]成功
