[INFO] 2020-09-11 11:05:22,907  Receive Msg: listen_port 9003

[INFO] 2020-09-11 11:05:23,001  Renix api initialization finished
[INFO] 2020-09-11 11:05:26,059  create ports with location:
[INFO] 2020-09-11 11:05:27,714  StreamPortConfig_1 has lower: InterFrameGapProfile_1
[INFO] 2020-09-11 11:05:27,721  StreamPortConfig_2 has lower: InterFrameGapProfile_2
[INFO] 2020-09-11 11:05:27,750  port(//192.168.0.180/1/1) create streams
[INFO] 2020-09-11 11:05:28,008  port(//192.168.0.180/1/2) create streams
[INFO] 2020-09-11 11:05:28,668  EthCopper_1 has lower: EthCopperConfig_1
[INFO] 2020-09-11 11:05:28,670  EthCopper_2 has lower: EthCopperConfig_2
[INFO] 2020-09-11 11:05:28,672  EthCopper_2 has lower: EthCopperConfig_2
[INFO] 2020-09-11 11:05:28,675  EthCopper_1 has lower: EthCopperConfig_1
[INFO] 2020-09-11 11:05:28,838  PageResultView_1 has lower: ResultQuery_1
[INFO] 2020-09-11 11:05:44,778  ResultQuery_1 has lower: StreamBlockStats_1 StreamBlockStats_2
[INFO] 2020-09-11 11:05:44,894  close connection to CL
